Unnamed: 0,combine_year,POS,HEIGHT,WEIGHT,BMI,BODY.FAT,STANDING.REACH,WINGSPAN,HAND.LENGTH,HAND.WIDTH,STANDING.VERTICAL,MAX.VERTICAL,LANE.AGILITY,SHUTTLE.RUN,THREE.QUARTER.SPRINT,BENCH.PRESS,WINGSPAN.HEIGHT.RATIO,STANDING.TOUCH,MAX.TOUCH,Name,above_max_vert_mean
213,2019,SG,76.25,205.6,24.86,4.9,100.5,82.75,9.0,10.0,30.5,38.5,11.71,3.12,3.17,19.0,1.085,131.0,139.0,Miye Oni,1
214,2019,SF,78.0,254.4,29.4,6.3,103.5,83.75,9.0,9.5,33.0,38.0,11.63,3.26,3.3,18.0,1.074,136.5,141.5,Eric Paschall,1
215,2019,PG,71.5,180.0,24.75,9.8,96.5,75.5,7.75,8.0,29.0,37.0,11.01,3.07,3.2,0.0,1.056,125.5,133.5,Shamorie Ponds,1
217,2019,SG,76.0,212.6,25.88,5.1,103.0,81.0,8.75,8.8,27.0,34.0,10.82,3.03,3.14,2.0,1.066,130.0,137.0,Kevin Porter Jr.,0
220,2019,PF,80.75,255.8,27.58,14.0,109.0,87.25,9.5,9.3,26.0,32.5,12.03,3.76,3.42,3.0,1.08,135.0,141.5,Naz Reid,0
221,2019,PF,79.25,214.0,23.95,3.9,106.0,85.0,9.0,10.5,32.5,35.5,10.63,3.05,3.25,9.0,1.073,138.5,141.5,Isaiah Roby,0
222,2019,PF,81.5,227.2,24.05,5.6,107.0,82.5,8.5,9.0,27.0,38.0,11.01,3.03,3.27,7.0,1.012,134.0,145.0,Luka Samanic,1
223,2019,SF,76.0,240.6,29.28,6.8,102.5,81.75,8.75,9.0,30.0,34.0,10.77,2.87,3.37,15.0,1.076,132.5,136.5,Admiral Schofield,0
224,2019,SF/PF,76.5,196.8,23.64,4.7,103.5,84.25,8.75,9.3,29.5,36.5,11.16,3.04,3.37,9.0,1.101,133.0,140.0,Marial Shayok,1
225,2019,PF,80.5,227.2,24.65,6.2,106.0,85.25,8.75,8.5,27.0,35.5,11.85,3.24,3.3,11.0,1.059,133.0,141.5,Simisola Shittu,0
227,2019,PG,69.5,172.4,25.09,6.6,93.5,74.25,8.0,9.8,30.5,40.5,10.76,3.11,3.07,5.0,1.068,124.0,134.0,Tremont Waters,1
230,2019,SF,78.25,208.8,23.97,4.9,103.0,82.75,8.5,9.5,27.5,35.0,10.39,3.09,3.34,4.0,1.058,130.5,138.0,Kris Wilkes,0
231,2019,PF,77.75,240.2,27.93,5.4,104.5,81.75,9.0,10.5,26.0,31.5,10.83,3.27,3.33,20.0,1.051,130.5,136.0,Grant Williams,0
232,2019,SF,78.25,195.8,22.48,4.6,104.5,82.0,8.25,9.5,29.0,37.5,10.7,2.94,3.3,8.0,1.048,133.5,142.0,Dylan Windler,1
233,2018,SG,74.75,217.4,27.35,8.9,99.0,80.75,8.5,10.0,32.5,40.5,11.5,3.09,3.15,10.0,1.08,131.5,139.5,Rawle Alkins,1
235,2018,PF,81.0,194.8,20.87,5.0,110.0,86.25,9.25,9.5,29.5,35.0,12.48,3.48,3.21,0.0,1.065,139.5,145.0,Kostas Antetokounmpo,0
237,2018,PG/SG,73.25,207.6,27.2,11.7,96.5,75.5,8.0,8.3,27.0,33.0,11.39,3.21,3.31,7.0,1.031,123.5,129.5,Jaylen Barford,0
238,2018,SG/SF,79.25,223.8,25.05,5.4,106.5,87.25,9.0,8.5,30.5,35.0,11.2,3.28,3.17,11.0,1.101,137.0,141.5,Keita Bates-Diop,0
239,2018,SG,77.0,200.2,23.74,4.0,102.0,81.0,8.5,9.3,32.0,37.5,11.04,2.87,3.07,9.0,1.052,134.0,139.5,Tyus Battle,1
240,2018,SG/SF,78.25,202.0,23.19,7.6,103.5,82.25,9.0,10.0,30.5,34.0,11.58,3.33,3.28,0.0,1.051,134.0,137.5,Brian Bowen,0
242,2018,PG/SG,75.5,194.6,24.0,3.8,98.5,81.0,8.5,8.5,32.5,38.0,11.11,3.44,3.2,17.0,1.073,131.0,136.5,Bruce Brown,1
243,2018,SF,77.75,208.0,24.19,7.1,105.0,82.25,9.0,9.8,26.0,33.0,11.51,3.29,3.33,5.0,1.058,131.0,138.0,Troy Brown,0
244,2018,PG,73.0,198.4,26.17,6.7,96.0,76.0,8.25,9.3,29.0,37.0,10.59,3.11,3.15,7.0,1.041,125.0,133.0,Jalen Brunson,1
245,2018,PG,75.0,198.8,24.85,6.5,100.0,80.25,8.5,9.8,25.0,31.5,11.89,3.4,3.17,0.0,1.07,125.0,131.5,Tony Carr,0
246,2018,PG,72.25,196.2,26.42,4.2,95.0,76.25,9.25,8.5,29.0,36.5,11.04,3.05,3.18,14.0,1.055,124.0,131.5,Jevon Carter,1
248,2018,SG,76.25,197.0,23.82,4.5,103.0,83.5,8.75,9.0,32.5,40.5,10.53,3.14,3.1,1.0,1.095,135.5,143.5,Hamidou Diallo,1
249,2018,SG,75.5,200.6,24.74,5.0,97.5,78.0,8.25,9.0,34.5,42.0,10.72,3.12,3.11,12.0,1.033,132.0,139.5,Donte DiVincenzo,1
