"","Season","Name","Team","Position","Started","Games","FantasyPoints","Minutes","FieldGoalsMade","FieldGoalsAttempted","FieldGoalsPercentage","EffectiveFieldGoalsPercentage","TwoPointersMade","TwoPointersAttempted","TwoPointersPercentage","ThreePointersMade","ThreePointersAttempted","ThreePointersPercentage","FreeThrowsMade","FreeThrowsAttempted","FreeThrowsPercentage","OffensiveRebounds","DefensiveRebounds","Rebounds","OffensiveReboundsPercentage","DefensiveReboundsPercentage","TotalReboundsPercentage","Assists","Steals","BlockedShots","Turnovers","PersonalFouls","Points","TrueShootingAttempts","TrueShootingPercentage","PlayerEfficiencyRating","AssistsPercentage","StealsPercentage","BlocksPercentage","TurnOversPercentage","UsageRatePercentage","PlusMinus","DoubleDoubles","TripleDoubles","combine_year","POS","HEIGHT","WEIGHT","BMI","BODY.FAT","STANDING.REACH","WINGSPAN","HAND.LENGTH","HAND.WIDTH","STANDING.VERTICAL","MAX.VERTICAL","LANE.AGILITY","SHUTTLE.RUN","THREE.QUARTER.SPRINT","BENCH.PRESS","WINGSPAN.HEIGHT.RATIO","STANDING.TOUCH","MAX.TOUCH"
"12",2009,"Chris Duhon","NY","PG",0,79,1367,2025,200,474.7,29.3,35.8,111.5,248.1,31.3,88.5,226.5,27.3,124.8,145.7,59.7,31.4,140.1,171.5,0.8,3.8,2.2,394.5,50.2,3.4,154,87.8,613.4,538.8,39.7,6.3,19.4,0.6,0.1,15.5,10.4,0,6.3,0,2004,"PG",72,193,26.17,6.7,98,78.5,NA,NA,31.5,35,10.45,NA,3.14,7,1.09,129.5,133
"13",2009,"Jared Jeffries","NY","PF",0,56,549.4,912,83.6,190.3,30.7,30.7,82.9,181.9,31.8,0.5,5.8,4,38.3,62.7,42.6,89.2,71.8,161,5,4.3,4.7,55.8,32.8,23,45.3,106.6,206.3,217.9,33,4.9,4.2,0.9,0.9,12,6.1,0,0.5,0,2002,"PF",82,230,24.05,NA,109,84.5,NA,NA,26,30,11.73,NA,3.4,9,1.03,135,139
"14",2009,"Brandon Roy","POR","SF",0,78,2005.3,2023,441.2,918.6,33.5,35.6,383.4,765.3,34.9,57.9,153.3,26.3,290,352,57.4,72.5,185.4,257.9,2.1,5.6,3.8,278.8,61.3,15.3,105.9,88.5,1230.2,1073.5,39.9,16,17.7,0.8,0.3,4.4,19.3,0,1.5,0,2006,"SG/SF",77.25,207,24.39,7.6,101,80,NA,NA,34,40.5,11.13,NA,3.27,6,1.036,135,141.5
"15",2009,"Dominic McGuire","WAS","PF",0,79,938.6,1444,97.6,225.8,30.1,30.3,96.2,223,30,1,1.9,34.8,51.6,71.1,50.5,78.8,219.6,298.3,3,12.8,5.9,138,43.2,51.6,64.1,106.6,248.1,257.1,33.6,5.3,6.7,0.8,1.4,13.9,4.9,0,1.9,0,2007,"SF",79,220,24.78,4.7,104,82.5,NA,NA,28.5,34.5,10.95,NA,3.25,12,1.044,132.5,138.5
"16",2009,"Troy Murphy","IND","PF",0,73,1674.3,1730,253.7,534.6,33.1,40.4,141.5,285.1,34.6,112.2,249.5,31.4,105.9,128.2,57.6,101.8,498.4,600.1,3.1,22.3,13.3,119.9,40.4,23.7,79.5,157.5,725.6,591,42.8,13.2,5.1,0.6,0.5,5.8,11.8,0,34.2,0,2001,"PF",81.75,230,24.19,11.7,105.5,83,NA,NA,28.5,34.5,11.22,NA,3.43,11,1.015,134,140
"17",2009,"DeSagana Diop","CHA","C",0,75,471.6,722,51.6,119.2,30.2,30.2,51.6,119.2,30.2,0,0,0,15.3,46,23.2,79.5,110.8,190.3,6.2,12.2,10.5,22.3,20.2,39,27.2,89.2,118.5,139.4,29.6,4.7,2.1,0.7,1.9,11.4,5.2,0,0,0,2001,"C",82,314,32.83,21,113,90.5,NA,NA,21.5,25.5,12.37,NA,3.56,15,1.104,134.5,138.5
"18",2009,"Josh Howard","DAL","SF",0,52,1015.6,1158,246,545.8,31.4,34,205.6,428.7,33.5,40.4,117.1,24,119.9,153.3,54.5,41.1,142.2,183.3,2,6.8,4.4,57.9,38.3,20.9,62,94.1,652.4,613.2,37.1,12.1,4.2,0.8,0.6,4.5,18.7,0,2.9,0,2003,"SG/SF",77.25,202,23.8,6,105.5,86,NA,NA,33,36.5,10.89,NA,3.09,4,1.113,138.5,142
"19",2009,"Chris Quinn","MIA","PG",0,66,450.3,671,82.2,201.4,28.4,35.2,43.2,105.9,28.4,39,95.5,28.5,32.8,40.4,56.5,3.9,46.7,52.3,0.5,4.1,2.3,92,16.7,1,23,55.1,236.3,219.2,37.6,6.3,15,0.7,0.1,4.6,11.9,0,0,0,2006,"PG/SG",72.5,175,23.41,5.9,94,77,NA,NA,32,37,11.25,NA,3.25,7,1.062,126,131
"20",2009,"Dwayne Jones","CHA","PF",0,6,17,36,1.9,3.4,39.8,39.8,1.9,3.4,39.8,0,0,0,1.9,2.9,46.5,2.9,2.9,5.8,6.9,6.8,6.9,0,0,0.5,1.9,2.9,5.8,4.7,44.1,3.9,0,0,0.8,20.4,6,0,0,0,2005,"PF/C",80.5,242.2,26.27,NA,108.5,86.75,NA,NA,28,31.5,11.87,NA,3.25,15,1.078,136.5,140
"21",2009,"Renaldo Balkman","DEN","PF",0,53,462.5,543,76.7,137.3,38.9,39.2,75.3,132.4,39.6,1,3.4,19.9,29.3,45.3,45,59.9,81.5,141.5,6.4,11.8,10.5,23.7,32.8,16,24.4,68.3,184,157.2,40.8,12.3,3.3,1.5,1.1,6.5,10.4,0,1,0,2006,"SF/PF",77.25,206,24.27,4.9,104.5,85,NA,NA,30.5,35,11.58,NA,3.22,9,1.1,135,139.5
